id,post_id,user_id,liked_at
2,26,9,2023-10-24 19:28:41
3,33,9,2023-10-26 09:08:32
5,36,1,2023-10-28 09:08:35
7,36,16,2023-10-28 09:15:57
9,52,9,2023-10-30 15:48:46
