id,post_id,user_id,rating_percent,rated_at
1,516,1,64,2024-01-11 12:45:41
2,160,1,62,2024-01-11 12:47:15
3,19,1,20,2024-01-11 12:47:28
4,148,1,100,2024-01-11 12:49:35
5,513,1,63,2024-01-11 12:50:58
